,0
452,"ibutorsKing Jesus (Pt. II) Lyrics[Part I]

[Intro: Scootie Wop, KB & Vickie Winans]
(No man) Hallelujah
(Can a-hinder me) Yes, Lord
(I got King Jesus, I got King Jesus)
(I got King Jesus, I got King Jesus) Run it back
Y'all ready?
Yeah

[Verse 1: KB & BigBreeze]
K to the second, that's rapper, that's Reverend
They started with Jesus, but I never—woo (Yeah, yeah)
I'm from the trenches, they write with the FN
The guns are drawn, ain't doin' no sketches
Me and Ameen was preachin' the King
This dude was aggrieved and pulled out a weapon
Ameen looked ovеr at me, said ""We ain't finna leavе
Like, what they gon' do? Send us to heaven?""
Woo, takin' the—woo, mountain for God, ain't no question
I brought the loaves and the fishes, He multiplied it all
And two thousand ate, yeah, that's miracles in a recession (Yeah, yeah)
Trappers respect it to cappers ejected
Don't need no election, go look at the throne
I spell His Name with four letters, no better than the Lamb (Yeah)
And the Lion is also the GOAT (Dee-dee-dee)
Boy, yeah
You might also like[Interlude: BigBreeze & KB]
Ayy, load me up
Breeze

[Verse 2: BigBreeze & 1K Phew]
I got His heart like it's right in my pocket
I'm four pockets full but I'm not with Lil Baby
That Bible gon' hit, every time it gon' save me (Yeah)
No time to be lazy 'cause He on the way back (Ain't no time)
This flow be so smooth like I'm riding a Maybach (Maybach)
Don't trigger, my mans, 'cause you know we don't play that (Yeah)
My life been unstable, no Cain, I was Abel (Yeesh)
Remember them days we weren't having no cable (Yeesh)
I switch up the label, some mad I'm a Christian (Switch it up)
They want some attention, it's creating tension (Haha)
Was jumpin' them fences, headed to detention (Hey)
Oops, I mean the pen' the way that I was livin' (Hey)
Y'all still trippin', only want the mention (What you got?)
Only want the follow, they don't want the Father (Racks on racks on racks)

[Verse 3: 1K Phew]
And I got King Jesus (King Jesus)
Some of these folk prolly got amnesia (Some of y'all)
'Cause I don't remember seein' you dyin' on a cross (A cross)
How you gon' say that you know me
And you ain't e'en ever met me
Excuse me lil' boy, are you lost? (Don't say that)
Somebody seems a lil' judgy and that's a lil' crazy
'Cause you don't e'en know what that cost (That's crazy)
Some of these folks got a heart full of ice
Can I get an autograph? You're the real Jack Frost (Jack Frosty)
I'm still showin' love, by the way (By the way)
They try and drag your name through the mud every day
I'm tryna make a move every time the King say
And not Simon say (Not Simon)
The kid ain't playin' (Kid ain't playin')
It's a house party at the heaven gates, baby
At the end of the day, so you can't be late (Can't be late)
I woke up in the morning, if you did that too
You better put your hands up if you can relate
[Verse 4: Mike Teezy]
I'm startin' off when the bass drop
I'ma praise God, so if they stop, rocks ain't cryin' out for me (Yeah, yeah)
And I'm somethin' like AI, 'cause if they try
Go and lock any door, man, I got the key (The answer)
Took all my burdens and gave 'em to God (I did)
He said ""That ain't no problem to me"" (Woah, facts)
They prolly thinkin' I blew on His chair (Yeah)
I'm an heir to the Throne, I'm a child of the King (Yeah, whew)
Okay, watch how I pivot like Jordan and Pippen (Yee, yee)
He died on the cross but I know that He risen (He did)
Did all of that sinnin', now they've been forgiven (Yeah)
He gave me this gift like He tyin' a ribbon
Brighten my path like sunlight (Sunlight)
Beatin' this beat like drum line (Drum line)
'Long as I got King Jesus
I know I did somethin' right (Somethin' right)

[Part II]

[Interlude: KB & Limoblaze]
(Yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah) Yeah
(Yeah, yeah, yeah, yeah) Let's take 'em to the Motherland
(Yeah, yeah, yeah, yeah) Okay
Uh
[Verse 5: Limoblaze]
Omo we go dey, okay (Okay)
Yes, we gon' be okay
All of the times that I banked on You
You been full ground like bam, bam
I don cast all my fears, oh
I no get e regret, oh
You give the assurance I've longed for
As long as I've got King Jesus

[Verse 6: Wande & Limoblaze]
Conquered all of me
I put my faith in Jesus Lord, my King
Nobody like You
You walked the earth, no sinning
Died, resurrect, I'm winning
I've got all I need
As long as I've got King Jesus

[Refrain: Limoblaze]
(Oh-way-oh-way-oh) Oh no, no
(Oh-way-oh-way-oh) Oh no, no
(Oh-way-oh-way-oh) I am winning
(Oh-way-oh-way-oh) As long as I've got King Jesus
(Oh-way-oh-way-oh) Oh no, no
(Oh-way-oh-way-oh) Oh no, no
(Oh-way-oh-way-oh) I am winning

[Refrain: Wande & KB]
(Jesus, Jesus) Yeah, You're my King
(Jesus, Jesus) Yeah, You're my King, yeah, You're my King
(Jesus, Jesus) Yeah, You're my King, yeah, You're my King
(Jesus, Jesus) 'Long as I got King Jesus
(Jesus, Jesus) Yeah, You're my King
(Jesus, Jesus) Yeah, You're my King, yeah, You're my King
(Jesus, Jesus) Yeah, You're my King, yeah, You're my King
(Jesus, Jesus) ('Long as I got King Jesus)

[Part III]

[Interludio: Tommy Royale]
Espera, espera, espera
Ayy, yo, KB, hold up (Put your hands in the air for Cardec)
Ya tú sabe' cómo hacemo' la' cosa'
Latinoamérica, República Dominicana
Cuba, PR
Tommy Royale (Zumba)

[Verso 7: Tommy Royale]
Damas y caballeros, llegué yo sin avisarles (Hey, hey)
Espero que no estoy tarde (Ooh-ee)
El trabajo del Señor lo 'toy haciendo y es con Cardec (On God)
Y no le vamos a bajarle
KB mandó la pista, dijo, ""Avanza, estamos tarde"" (Avanza)
Ayer yo tuve que entregarle (Boo-boo-boo)
Las voces pa' este tema, baby, vamos a cantarle (Hey)
A quien nos bautizó con sangre
Basta, dime, bebé, qué pasa (Hey)
Hay que mezclar la pasta si no se amongoya (Hey, hey, hey)
Y ya se molestó la casa (Hey)
Y yo vestido de grasa (Ooh-ee)
Y ahora soy Chef Gusteau y eso que yo empecé con nada (Yeah, yeah)
Bebé, nada, bebé
Nothing turn to something (Woah, woah)
Y es por gracia, no por money (Woah, woah)
Buscando río de honey (Woah, woah)
Nada nuevo Babylon (Woah, woah)
Con más hielo que Marconi (Woah, woah)
Si esto es hockey pues soy goalie (Woah, woah)
Gracias, mi Dios, Tú eres mi Piedra como Onyx (Woah, Onyx)

[Estribillo: Tommy Royale]
(Jesús, El Rey, Je—Jesús, El Rey) Ayy, hey
(Je—Jesús, El Rey, Je—Jesús, El Rey) Do-do-do-do-do
(Je—Jesús, El Rey, Je—Jesús, El Rey) Hey
(Je—Jesús, El Rey, Je—Jesús, El Rey, Je—)

[Part IV]

[Interlude: KB]
(Je—Je—Je—)
(Je—Je—Je—Je—) (Ayy)

[Verse 8: KB]
King Jesus, my code
WEARETHEGOOD, them boys so cold
Mon' come through and I brought my bros
HGA, that's how I'm clothed (Bow, bow)
3-for-3 or 4-for-4
Lynn told me that ya boy went gold (Yee)
I don't really care 'bout numbers, though (Brrt)
'Cause they still lie but He still Lord (Bow)
I ain't gotta save no face, this is savin' faith
I can play no hate, yeah
You gon' have to face His fate
But I say today, tryna pave the way, yeah (What?)
He gon' be the greater way
It's amazing grace, a favorite place
Raisin' grave where the daisies lay
Get the greatest play to the Savior (Oh)
King, woo, it's just facts on the kids
You givin' praise to the universe
And the universe look at you like, ""Chill"" (Yeah)
You givin' praise to the universe
And the universe ain't got no will (No)
You givin' praise to the universe
And the universe givin' praise to Him (What? What?)

[Verse 9: S.O.]
Look, as long as I got King Jesus
I don't wanna hear no talkin', uh
Big face, lookin' all awkward
This day give grace, you ain't gonna hear no chorus
This that missional talk and switch plates
Independent, you know that I got no deal (Yee)
COVID about, but I cut through customs still (Yee, yee)
S.O. on drill, better know that it's not no—uh (Yee)
Son of Man ain't no hologram, mm
This that mm like hollow, man, mm
This that flow that will get them talkin'
Their face distorted, all of that true (What?)
All of that talk is cheap
I want more if you talk to me (Yeah)
I'm from a place where you walk the streets, it's peak
This ain't Dawson's Creek, nah (Ayy, ayy)
Still get deep, come from the school (Brrt)
Of AFG, better watch and pray
Girl in the road wit' her face on beat
But the Rambo long like stock exchange, uh (Yee)
Nothin' gon' stop that thing, uh (Yeah)
Lil' bro told me they killed his homie
Now he wanna ride and cock and bang (Yeah)
You know when it's not no games, ooh
Gotta tell 'em 'bout Jesus still
The King who dies and heals
You know who He is when He's out in the field
Let's keep it real, I don't wanna burn no sage
Didn't I tell you? My King don't play
Turn that page, read all about His words
And you know there's gon' be change, huh

[Outro: S.O.]
(As long as I've got King Jesus)
(As long as I've got King Jesus)4Embe"
453,"
O come, O come, Emmanuel
And ransom captive Israel
That mourns in lonely exile here
Until the Son of God appear
[Refrain]
Rejoice! Rejoice! Emmanuel
Shall come to thee, O Israel

"
454,"
Let's take them back to the days
When we were family
My breath was your breath when we were young
I think it's funny how the times have changed
Throw being jealous in the mix and now all I know of you is a name
Couldn't have came at a better time
This ends right now

[Chorus]
We gave all of ourselves to entertain you
We're only hurting us
We gave all of ourselves to entertain you
We're only hurting ourselves

"
455,"butorsHome Sweet Home Lyrics'Mid pleasures and palaces though we may roam
Be it ever so humble, there's no place like home
A charm from the skies seems to hallow us there
Which, seek thro' the world, is ne'er met with elsewhere

Home, home, sweet sweet home
There's no place like home
There's no place like home

I gaze on the moon as I tread the drear wild
And feel that my mother now thinks of her child;
As she looks on that moon from our own cottage door
Thro' the woodbine whose fragrance shall cheer me no more

Home, home, sweet sweet home
There's no place like home
There's no place like home

An exile from home splendor dazzles in vain
Oh, give me my lowly thatched cottage again;
The birds singing gaily that came at my call:
Give me them and that peace of mind, dearer than all

Home, home, sweet sweet home
There's no place like home
There's no place like homeYou might also likeEmbe"
456,"butorsWonderful Grace of Jesus LyricsWonderful Grace of Jesus, greater than all my sin;
How shall my tongue describe it
Where shall its praise begin?
Taking away my burden, setting my spirit free;
O the Wonderful Grace of Jesus reaches me!

Refrain
Wonderful the matchless Grace of Jesus
The matchless Grace of Jesus
Deeper than the mighty rolling sea;
The rolling sea;
Wonderful Grace, all sufficient for me, for even
Higher than the mountain, sparkling like a fountain
All sufficient Grace for even me
Broader than the scope of my transgressions
Sing it!
Greater far than all my sin and shame
My sin and shame
O magnify the precious name of Jesus
Praise his name!
Wonderful Grace of Jesus, reaching to all the lost;
By it I have been pardoned, saved to the uttermost
Chains have been torn asunder, giving me liberty;
O the Wonderful Grace of Jesus, reaches me!

Refrain
Wonderful the matchless Grace of Jesus
The matchless Grace of Jesus
Deeper than the mighty rolling sea;
The rolling sea;
Wonderful Grace, all sufficient for me, for even me
Higher than the mountain, sparkling like a fountain
All sufficient Grace for even me
Broader than the scope of my transgressions
Sing it!
Greater far than all my sin and shame
My sin and shame
O magnify the precious name of Jesus
Praise his name!
Wonderful Grace of Jesus, reaching the most defiled;
By its transforming power
Making me God's dear child
Purchasing peace and Heaven, for all eternity;
And the Wonderful Grace of Jesus, reaches me!
You might also likeRefrain
Wonderful the matchless Grace of Jesus
The matchless Grace of Jesus
Deeper than the mighty rolling sea;
The rolling sea;
Wonderful Grace, all sufficient for me, for even me
Higher than the mountain, sparkling like a fountain
All sufficient Grace for even me
Broader than the scope of my transgressions
Sing it!
Greater far than all my sin and shame
My sin and shame
O magnify the precious name of Jesus
Praise his name!Embe"
457,"butorsWere You There? LyricsWere you there when they crucified my Lord?
Oh, were you there when they crucified my Lord?
(Oh, sometimes it causes me to tremble) tremble

Were you there when they crucified my Lord?
Were you there when they nailed him to the cross?
Were you there when they nailed him to the cross?
(Oh, sometimes it causes me to tremble) tremble
Were you there when they nailed him to the cross?

(Were you there when they laid him in the tomb?
Were you there when they laid him in the tomb?
Oh, sometimes it causes me to tremble) tremble

Were you there when they laid him in the tomb?
Well, were you there when the stone was rolled away?
Were you there when the stone was rolled away?
(Oh, sometimes it causes me to tremble) tremble
Were you there when the stone was rolled away?You might also likeEmbe"
458,"
On Jordan's stormy banks I stand
And cast a wishful eye
To Canaan's fair and happy land
Where my possessions lie
All o'er those wide extended plains
Shines one eternal day
There God the Son forever reigns
And scatters night away

[Chorus]
I am bound (I am bound)
I am bound (I am bound)
I am bound for the promised land
I am bound (I am bound)
I am bound (I am bound)
I am bound for the promised land

"
459,"butorsThe Lord bless you and keep you LyricsThe Lord bless you and keep you;
The Lord make His face to shine upon you
To shine upon you and be gracious
And be gracious unto you
The Lord bless you and keep you
The Lord lift up the light of His countenance upon you
The Lord lift up the light of His countenance upon you
And give you peace, and give you peace;
And give you peace, and give you peaceSee John Rutter LiveGet tickets as low as $25You might also likeEmbe"
460,"
Throw out the Life-Line across the dark wave
There is a brother who someone should save
Somebody's brother! Oh, who then will dare
To throw out the Life-Line, his peril to share?

[Chorus]
Throw out the Life-Line! Throw out the Life-Line!
Someone is drifting away
Throw out the Life-Line! Throw out the Life-Line!
Someone is sinking today

"
461,"
O love surpassing knowledge
Grace so full and free
I know that Jesus saves me
And that's enough for me
O wonderful salvation
From sin He makes me free
I feel the sweet assurance
And that's enough for me

[Chorus]
Hallelujah
No one greater
Hallelujah
What a Saviour
Oh, You gave Yourself
Broken on that tree
Your sacrifice, is enough for me

"
462,"butorRejoice and Be Glad LyricsRejoice and be glad
Ye people of the Lord
Rejoice and be glad
For great is your reward
Since we live in perfect freedom
From the guilty stain we had
There's no need to be sad
So, rejoice and be glad

Oh, the curse of Adam's sin
He been shattered by the cross
And we are welcomed in
Those who once were lost
For the grave was powerless to crush
The hope that lives inside of us
And we're no longer strangers
In the presence of the King

Rejoice and be glad
Ye people of the Lord
Rejoice and be glad
For great is your reward
Since we live in perfect freedom
From the guilty stain we had
There's no need to be sad
So, rejoice and be glad
You might also likeWe can wear the Father's name
As the children of His grace
Upon a hill of shame
Our history was erased
For when all our good would not suffice
The Son became the sacrifice
And made us more than conquerors
Through Christ who loved us so

Rejoice and be glad
Ye people of the Lord
Rejoice and be glad
For great is your reward
Since we live in perfect freedom
From the guilty stain we had
There's no need to be sad
So, rejoice and be glad

Rejoice and be glad
For great is your reward
Rejoice and be glad
For great is your reward
Since we live in perfect freedom
From the guilty stain we had
There's no need to be sad
So, rejoice and be glad
Rejoice and be glad
There's no need to be sad
There's no need to be sad
There's no need to be sad
So, rejoice and be glad
There's no need to be sad
So, rejoice and be gladEmbe"
